País de residencia	Tipo de dato	Gastos y duración media de los viajes	Periodo	Total
Total	Dato base	Gasto total	2020M09	967,48
Total	Dato base	Gasto total	2020M08	2.456,83
Total	Dato base	Gasto total	2020M07	2.450,09
Total	Dato base	Gasto total	2020M06	133,37
Total	Dato base	Gasto total	2020M05	0,00
Total	Dato base	Gasto total	2020M04	0,00
Total	Dato base	Gasto total	2020M03	2.214,89
Total	Dato base	Gasto total	2020M02	4.713,58
Total	Dato base	Gasto total	2020M01	4.778,57
Total	Dato base	Gasto total	2019M12	5.010,84
Total	Dato base	Gasto total	2019M11	5.062,63
Total	Dato base	Gasto total	2019M10	8.322,55
Total	Dato base	Gasto total	2019M09	9.617,21
Total	Dato base	Gasto total	2019M08	11.704,76
Total	Dato base	Gasto total	2019M07	11.941,51
Total	Dato base	Gasto total	2019M06	9.686,12
Total	Dato base	Gasto total	2019M05	8.137,84
Total	Dato base	Gasto total	2019M04	7.056,36
Total	Dato base	Gasto total	2019M03	6.034,87
Total	Dato base	Gasto total	2019M02	4.658,61
Total	Dato base	Gasto total	2019M01	4.678,67
Total	Dato base	Gasto total	2018M12	5.009,52
Total	Dato base	Gasto total	2018M11	4.888,55
Total	Dato base	Gasto total	2018M10	8.164,58
Total	Dato base	Gasto total	2018M09	9.545,81
Total	Dato base	Gasto total	2018M08	11.459,69
Total	Dato base	Gasto total	2018M07	11.748,10
Total	Dato base	Gasto total	2018M06	9.370,81
Total	Dato base	Gasto total	2018M05	8.155,06
Total	Dato base	Gasto total	2018M04	6.621,53
Total	Dato base	Gasto total	2018M03	5.726,73
Total	Dato base	Gasto total	2018M02	4.535,94
Total	Dato base	Gasto total	2018M01	4.524,43
Total	Dato base	Gasto total	2017M12	4.530,66
Total	Dato base	Gasto total	2017M11	4.642,35
Total	Dato base	Gasto total	2017M10	7.789,23
Total	Dato base	Gasto total	2017M09	9.476,29
Total	Dato base	Gasto total	2017M08	11.340,29
Total	Dato base	Gasto total	2017M07	11.850,99
Total	Dato base	Gasto total	2017M06	8.987,77
Total	Dato base	Gasto total	2017M05	7.927,07
Total	Dato base	Gasto total	2017M04	6.782,08
Total	Dato base	Gasto total	2017M03	5.109,49
Total	Dato base	Gasto total	2017M02	4.304,73
Total	Dato base	Gasto total	2017M01	4.262,99
Total	Dato base	Gasto total	2016M12	4.525,45
Total	Dato base	Gasto total	2016M11	4.205,06
Total	Dato base	Gasto total	2016M10	7.333,85
Total	Dato base	Gasto total	2016M09	8.399,31
Total	Dato base	Gasto total	2016M08	10.281,98
Total	Dato base	Gasto total	2016M07	10.238,54
Total	Dato base	Gasto total	2016M06	7.817,41
Total	Dato base	Gasto total	2016M05	6.917,93
Total	Dato base	Gasto total	2016M04	5.627,99
Total	Dato base	Gasto total	2016M03	4.624,47
Total	Dato base	Gasto total	2016M02	3.706,27
Total	Dato base	Gasto total	2016M01	3.737,26
Total	Dato base	Gasto total	2015M12	3.773,27
Total	Dato base	Gasto total	2015M11	3.872,84
Total	Dato base	Gasto total	2015M10	6.280,63
Total	Dato base	Gasto medio por persona	2020M09	849
Total	Dato base	Gasto medio por persona	2020M08	1.006
Total	Dato base	Gasto medio por persona	2020M07	994
Total	Dato base	Gasto medio por persona	2020M06	651
Total	Dato base	Gasto medio por persona	2020M05	0
Total	Dato base	Gasto medio por persona	2020M04	0
Total	Dato base	Gasto medio por persona	2020M03	1.097
Total	Dato base	Gasto medio por persona	2020M02	1.066
Total	Dato base	Gasto medio por persona	2020M01	1.155
Total	Dato base	Gasto medio por persona	2019M12	1.164
Total	Dato base	Gasto medio por persona	2019M11	1.088
Total	Dato base	Gasto medio por persona	2019M10	1.097
Total	Dato base	Gasto medio por persona	2019M09	1.087
Total	Dato base	Gasto medio por persona	2019M08	1.157
Total	Dato base	Gasto medio por persona	2019M07	1.209
Total	Dato base	Gasto medio por persona	2019M06	1.096
Total	Dato base	Gasto medio por persona	2019M05	1.028
Total	Dato base	Gasto medio por persona	2019M04	987
Total	Dato base	Gasto medio por persona	2019M03	1.068
Total	Dato base	Gasto medio por persona	2019M02	1.063
Total	Dato base	Gasto medio por persona	2019M01	1.115
Total	Dato base	Gasto medio por persona	2018M12	1.150
Total	Dato base	Gasto medio por persona	2018M11	1.078
Total	Dato base	Gasto medio por persona	2018M10	1.067
Total	Dato base	Gasto medio por persona	2018M09	1.069
Total	Dato base	Gasto medio por persona	2018M08	1.126
Total	Dato base	Gasto medio por persona	2018M07	1.172
Total	Dato base	Gasto medio por persona	2018M06	1.095
Total	Dato base	Gasto medio por persona	2018M05	1.009
Total	Dato base	Gasto medio por persona	2018M04	977
Total	Dato base	Gasto medio por persona	2018M03	1.062
Total	Dato base	Gasto medio por persona	2018M02	1.075
Total	Dato base	Gasto medio por persona	2018M01	1.102
Total	Dato base	Gasto medio por persona	2017M12	1.138
Total	Dato base	Gasto medio por persona	2017M11	1.057
Total	Dato base	Gasto medio por persona	2017M10	1.071
Total	Dato base	Gasto medio por persona	2017M09	1.067
Total	Dato base	Gasto medio por persona	2017M08	1.091
Total	Dato base	Gasto medio por persona	2017M07	1.129
Total	Dato base	Gasto medio por persona	2017M06	1.066
Total	Dato base	Gasto medio por persona	2017M05	991
Total	Dato base	Gasto medio por persona	2017M04	958
Total	Dato base	Gasto medio por persona	2017M03	1.040
Total	Dato base	Gasto medio por persona	2017M02	1.045
Total	Dato base	Gasto medio por persona	2017M01	1.091
Total	Dato base	Gasto medio por persona	2016M12	1.134
Total	Dato base	Gasto medio por persona	2016M11	1.026
Total	Dato base	Gasto medio por persona	2016M10	1.027
Total	Dato base	Gasto medio por persona	2016M09	1.059
Total	Dato base	Gasto medio por persona	2016M08	1.025
Total	Dato base	Gasto medio por persona	2016M07	1.073
Total	Dato base	Gasto medio por persona	2016M06	1.035
Total	Dato base	Gasto medio por persona	2016M05	973
Total	Dato base	Gasto medio por persona	2016M04	925
Total	Dato base	Gasto medio por persona	2016M03	999
Total	Dato base	Gasto medio por persona	2016M02	1.007
Total	Dato base	Gasto medio por persona	2016M01	1.060
Total	Dato base	Gasto medio por persona	2015M12	1.074
Total	Dato base	Gasto medio por persona	2015M11	1.031
Total	Dato base	Gasto medio por persona	2015M10	976
Total	Dato base	Gasto medio diario por persona	2020M09	106
Total	Dato base	Gasto medio diario por persona	2020M08	116
Total	Dato base	Gasto medio diario por persona	2020M07	123
Total	Dato base	Gasto medio diario por persona	2020M06	114
Total	Dato base	Gasto medio diario por persona	2020M05	0
Total	Dato base	Gasto medio diario por persona	2020M04	0
Total	Dato base	Gasto medio diario por persona	2020M03	152
Total	Dato base	Gasto medio diario por persona	2020M02	156
Total	Dato base	Gasto medio diario por persona	2020M01	144
Total	Dato base	Gasto medio diario por persona	2019M12	149
Total	Dato base	Gasto medio diario por persona	2019M11	161
Total	Dato base	Gasto medio diario por persona	2019M10	161
Total	Dato base	Gasto medio diario por persona	2019M09	152
Total	Dato base	Gasto medio diario por persona	2019M08	147
Total	Dato base	Gasto medio diario por persona	2019M07	160
Total	Dato base	Gasto medio diario por persona	2019M06	164
Total	Dato base	Gasto medio diario por persona	2019M05	164
Total	Dato base	Gasto medio diario por persona	2019M04	154
Total	Dato base	Gasto medio diario por persona	2019M03	151
Total	Dato base	Gasto medio diario por persona	2019M02	148
Total	Dato base	Gasto medio diario por persona	2019M01	139
Total	Dato base	Gasto medio diario por persona	2018M12	137
Total	Dato base	Gasto medio diario por persona	2018M11	154
Total	Dato base	Gasto medio diario por persona	2018M10	151
Total	Dato base	Gasto medio diario por persona	2018M09	147
Total	Dato base	Gasto medio diario por persona	2018M08	139
Total	Dato base	Gasto medio diario por persona	2018M07	152
Total	Dato base	Gasto medio diario por persona	2018M06	151
Total	Dato base	Gasto medio diario por persona	2018M05	149
Total	Dato base	Gasto medio diario por persona	2018M04	144
Total	Dato base	Gasto medio diario por persona	2018M03	142
Total	Dato base	Gasto medio diario por persona	2018M02	141
Total	Dato base	Gasto medio diario por persona	2018M01	132
Total	Dato base	Gasto medio diario por persona	2017M12	127
Total	Dato base	Gasto medio diario por persona	2017M11	138
Total	Dato base	Gasto medio diario por persona	2017M10	143
Total	Dato base	Gasto medio diario por persona	2017M09	143
Total	Dato base	Gasto medio diario por persona	2017M08	126
Total	Dato base	Gasto medio diario por persona	2017M07	139
Total	Dato base	Gasto medio diario por persona	2017M06	143
Total	Dato base	Gasto medio diario por persona	2017M05	145
Total	Dato base	Gasto medio diario por persona	2017M04	139
Total	Dato base	Gasto medio diario por persona	2017M03	141
Total	Dato base	Gasto medio diario por persona	2017M02	132
Total	Dato base	Gasto medio diario por persona	2017M01	129
Total	Dato base	Gasto medio diario por persona	2016M12	124
Total	Dato base	Gasto medio diario por persona	2016M11	138
Total	Dato base	Gasto medio diario por persona	2016M10	136
Total	Dato base	Gasto medio diario por persona	2016M09	135
Total	Dato base	Gasto medio diario por persona	2016M08	117
Total	Dato base	Gasto medio diario por persona	2016M07	131
Total	Dato base	Gasto medio diario por persona	2016M06	136
Total	Dato base	Gasto medio diario por persona	2016M05	142
Total	Dato base	Gasto medio diario por persona	2016M04	130
Total	Dato base	Gasto medio diario por persona	2016M03	131
Total	Dato base	Gasto medio diario por persona	2016M02	129
Total	Dato base	Gasto medio diario por persona	2016M01	122
Total	Dato base	Gasto medio diario por persona	2015M12	116
Total	Dato base	Gasto medio diario por persona	2015M11	130
Total	Dato base	Gasto medio diario por persona	2015M10	120
Total	Dato base	Duración media de los viajes	2020M09	8,03
Total	Dato base	Duración media de los viajes	2020M08	8,65
Total	Dato base	Duración media de los viajes	2020M07	8,09
Total	Dato base	Duración media de los viajes	2020M06	5,72
Total	Dato base	Duración media de los viajes	2020M05	0,00
Total	Dato base	Duración media de los viajes	2020M04	0,00
Total	Dato base	Duración media de los viajes	2020M03	7,22
Total	Dato base	Duración media de los viajes	2020M02	6,84
Total	Dato base	Duración media de los viajes	2020M01	7,99
Total	Dato base	Duración media de los viajes	2019M12	7,80
Total	Dato base	Duración media de los viajes	2019M11	6,74
Total	Dato base	Duración media de los viajes	2019M10	6,81
Total	Dato base	Duración media de los viajes	2019M09	7,13
Total	Dato base	Duración media de los viajes	2019M08	7,88
Total	Dato base	Duración media de los viajes	2019M07	7,55
Total	Dato base	Duración media de los viajes	2019M06	6,71
Total	Dato base	Duración media de los viajes	2019M05	6,27
Total	Dato base	Duración media de los viajes	2019M04	6,40
Total	Dato base	Duración media de los viajes	2019M03	7,09
Total	Dato base	Duración media de los viajes	2019M02	7,19
Total	Dato base	Duración media de los viajes	2019M01	8,05
Total	Dato base	Duración media de los viajes	2018M12	8,42
Total	Dato base	Duración media de los viajes	2018M11	7,01
Total	Dato base	Duración media de los viajes	2018M10	7,08
Total	Dato base	Duración media de los viajes	2018M09	7,29
Total	Dato base	Duración media de los viajes	2018M08	8,09
Total	Dato base	Duración media de los viajes	2018M07	7,70
Total	Dato base	Duración media de los viajes	2018M06	7,26
Total	Dato base	Duración media de los viajes	2018M05	6,76
Total	Dato base	Duración media de los viajes	2018M04	6,77
Total	Dato base	Duración media de los viajes	2018M03	7,49
Total	Dato base	Duración media de los viajes	2018M02	7,63
Total	Dato base	Duración media de los viajes	2018M01	8,37
Total	Dato base	Duración media de los viajes	2017M12	8,99
Total	Dato base	Duración media de los viajes	2017M11	7,65
Total	Dato base	Duración media de los viajes	2017M10	7,47
Total	Dato base	Duración media de los viajes	2017M09	7,48
Total	Dato base	Duración media de los viajes	2017M08	8,65
Total	Dato base	Duración media de los viajes	2017M07	8,11
Total	Dato base	Duración media de los viajes	2017M06	7,46
Total	Dato base	Duración media de los viajes	2017M05	6,84
Total	Dato base	Duración media de los viajes	2017M04	6,90
Total	Dato base	Duración media de los viajes	2017M03	7,39
Total	Dato base	Duración media de los viajes	2017M02	7,93
Total	Dato base	Duración media de los viajes	2017M01	8,45
Total	Dato base	Duración media de los viajes	2016M12	9,15
Total	Dato base	Duración media de los viajes	2016M11	7,43
Total	Dato base	Duración media de los viajes	2016M10	7,55
Total	Dato base	Duración media de los viajes	2016M09	7,86
Total	Dato base	Duración media de los viajes	2016M08	8,76
Total	Dato base	Duración media de los viajes	2016M07	8,20
Total	Dato base	Duración media de los viajes	2016M06	7,60
Total	Dato base	Duración media de los viajes	2016M05	6,86
Total	Dato base	Duración media de los viajes	2016M04	7,11
Total	Dato base	Duración media de los viajes	2016M03	7,62
Total	Dato base	Duración media de los viajes	2016M02	7,81
Total	Dato base	Duración media de los viajes	2016M01	8,70
Total	Dato base	Duración media de los viajes	2015M12	9,25
Total	Dato base	Duración media de los viajes	2015M11	7,95
Total	Dato base	Duración media de los viajes	2015M10	8,12
Total	Tasa de variación anual	Gasto total	2020M09	-89,94
Total	Tasa de variación anual	Gasto total	2020M08	-79,01
Total	Tasa de variación anual	Gasto total	2020M07	-79,48
Total	Tasa de variación anual	Gasto total	2020M06	-98,62
Total	Tasa de variación anual	Gasto total	2020M05	-100,00
Total	Tasa de variación anual	Gasto total	2020M04	-100,00
Total	Tasa de variación anual	Gasto total	2020M03	-63,30
Total	Tasa de variación anual	Gasto total	2020M02	1,18
Total	Tasa de variación anual	Gasto total	2020M01	2,14
Total	Tasa de variación anual	Gasto total	2019M12	0,03
Total	Tasa de variación anual	Gasto total	2019M11	3,56
Total	Tasa de variación anual	Gasto total	2019M10	1,93
Total	Tasa de variación anual	Gasto total	2019M09	0,75
Total	Tasa de variación anual	Gasto total	2019M08	2,14
Total	Tasa de variación anual	Gasto total	2019M07	1,65
Total	Tasa de variación anual	Gasto total	2019M06	3,36
Total	Tasa de variación anual	Gasto total	2019M05	-0,21
Total	Tasa de variación anual	Gasto total	2019M04	6,57
Total	Tasa de variación anual	Gasto total	2019M03	5,38
Total	Tasa de variación anual	Gasto total	2019M02	2,70
Total	Tasa de variación anual	Gasto total	2019M01	3,41
Total	Tasa de variación anual	Gasto total	2018M12	10,57
Total	Tasa de variación anual	Gasto total	2018M11	5,30
Total	Tasa de variación anual	Gasto total	2018M10	4,82
Total	Tasa de variación anual	Gasto total	2018M09	0,73
Total	Tasa de variación anual	Gasto total	2018M08	1,05
Total	Tasa de variación anual	Gasto total	2018M07	-0,87
Total	Tasa de variación anual	Gasto total	2018M06	4,26
Total	Tasa de variación anual	Gasto total	2018M05	2,88
Total	Tasa de variación anual	Gasto total	2018M04	-2,37
Total	Tasa de variación anual	Gasto total	2018M03	12,08
Total	Tasa de variación anual	Gasto total	2018M02	5,37
Total	Tasa de variación anual	Gasto total	2018M01	6,13
Total	Tasa de variación anual	Gasto total	2017M12	0,11
Total	Tasa de variación anual	Gasto total	2017M11	10,40
Total	Tasa de variación anual	Gasto total	2017M10	6,21
Total	Tasa de variación anual	Gasto total	2017M09	12,82
Total	Tasa de variación anual	Gasto total	2017M08	10,29
Total	Tasa de variación anual	Gasto total	2017M07	15,75
Total	Tasa de variación anual	Gasto total	2017M06	14,97
Total	Tasa de variación anual	Gasto total	2017M05	14,59
Total	Tasa de variación anual	Gasto total	2017M04	20,51
Total	Tasa de variación anual	Gasto total	2017M03	10,49
Total	Tasa de variación anual	Gasto total	2017M02	16,15
Total	Tasa de variación anual	Gasto total	2017M01	14,07
Total	Tasa de variación anual	Gasto total	2016M12	19,93
Total	Tasa de variación anual	Gasto total	2016M11	8,58
Total	Tasa de variación anual	Gasto total	2016M10	16,77
Total	Tasa de variación anual	Gasto total	2016M09	10,30
Total	Tasa de variación anual	Gasto total	2016M08	4,13
Total	Tasa de variación anual	Gasto total	2016M07	7,75
Total	Tasa de variación anual	Gasto total	2016M06	12,77
Total	Tasa de variación anual	Gasto total	2016M05	8,54
Total	Tasa de variación anual	Gasto total	2016M04	4,22
Total	Tasa de variación anual	Gasto total	2016M03	9,43
Total	Tasa de variación anual	Gasto total	2016M02	8,02
Total	Tasa de variación anual	Gasto total	2016M01	3,62
Total	Tasa de variación anual	Gasto total	2015M12	9,42
Total	Tasa de variación anual	Gasto total	2015M11	12,19
Total	Tasa de variación anual	Gasto total	2015M10	4,06
Total	Tasa de variación anual	Gasto medio por persona	2020M09	-21,96
Total	Tasa de variación anual	Gasto medio por persona	2020M08	-13,06
Total	Tasa de variación anual	Gasto medio por persona	2020M07	-17,80
Total	Tasa de variación anual	Gasto medio por persona	2020M06	-40,64
Total	Tasa de variación anual	Gasto medio por persona	2020M05	-100,00
Total	Tasa de variación anual	Gasto medio por persona	2020M04	-100,00
Total	Tasa de variación anual	Gasto medio por persona	2020M03	2,73
Total	Tasa de variación anual	Gasto medio por persona	2020M02	0,19
Total	Tasa de variación anual	Gasto medio por persona	2020M01	3,55
Total	Tasa de variación anual	Gasto medio por persona	2019M12	1,19
Total	Tasa de variación anual	Gasto medio por persona	2019M11	0,93
Total	Tasa de variación anual	Gasto medio por persona	2019M10	2,77
Total	Tasa de variación anual	Gasto medio por persona	2019M09	1,74
Total	Tasa de variación anual	Gasto medio por persona	2019M08	2,72
Total	Tasa de variación anual	Gasto medio por persona	2019M07	3,16
Total	Tasa de variación anual	Gasto medio por persona	2019M06	0,09
Total	Tasa de variación anual	Gasto medio por persona	2019M05	1,89
Total	Tasa de variación anual	Gasto medio por persona	2019M04	1,11
Total	Tasa de variación anual	Gasto medio por persona	2019M03	0,60
Total	Tasa de variación anual	Gasto medio por persona	2019M02	-1,10
Total	Tasa de variación anual	Gasto medio por persona	2019M01	1,21
Total	Tasa de variación anual	Gasto medio por persona	2018M12	1,12
Total	Tasa de variación anual	Gasto medio por persona	2018M11	1,95
Total	Tasa de variación anual	Gasto medio por persona	2018M10	-0,39
Total	Tasa de variación anual	Gasto medio por persona	2018M09	0,11
Total	Tasa de variación anual	Gasto medio por persona	2018M08	3,26
Total	Tasa de variación anual	Gasto medio por persona	2018M07	3,81
Total	Tasa de variación anual	Gasto medio por persona	2018M06	2,77
Total	Tasa de variación anual	Gasto medio por persona	2018M05	1,82
Total	Tasa de variación anual	Gasto medio por persona	2018M04	1,97
Total	Tasa de variación anual	Gasto medio por persona	2018M03	2,12
Total	Tasa de variación anual	Gasto medio por persona	2018M02	2,90
Total	Tasa de variación anual	Gasto medio por persona	2018M01	0,94
Total	Tasa de variación anual	Gasto medio por persona	2017M12	0,31
Total	Tasa de variación anual	Gasto medio por persona	2017M11	3,00
Total	Tasa de variación anual	Gasto medio por persona	2017M10	4,28
Total	Tasa de variación anual	Gasto medio por persona	2017M09	0,82
Total	Tasa de variación anual	Gasto medio por persona	2017M08	6,37
Total	Tasa de variación anual	Gasto medio por persona	2017M07	5,30
Total	Tasa de variación anual	Gasto medio por persona	2017M06	2,98
Total	Tasa de variación anual	Gasto medio por persona	2017M05	1,82
Total	Tasa de variación anual	Gasto medio por persona	2017M04	3,57
Total	Tasa de variación anual	Gasto medio por persona	2017M03	4,04
Total	Tasa de variación anual	Gasto medio por persona	2017M02	3,73
Total	Tasa de variación anual	Gasto medio por persona	2017M01	2,99
Total	Tasa de variación anual	Gasto medio por persona	2016M12	5,58
Total	Tasa de variación anual	Gasto medio por persona	2016M11	-0,52
Total	Tasa de variación anual	Gasto medio por persona	2016M10	5,23
Total	Tasa de variación anual	Gasto medio por persona	2016M09	0,71
Total	Tasa de variación anual	Gasto medio por persona	2016M08	-2,08
Total	Tasa de variación anual	Gasto medio por persona	2016M07	-2,03
Total	Tasa de variación anual	Gasto medio por persona	2016M06	-0,11
Total	Tasa de variación anual	Gasto medio por persona	2016M05	0,33
Total	Tasa de variación anual	Gasto medio por persona	2016M04	-6,60
Total	Tasa de variación anual	Gasto medio por persona	2016M03	-5,21
Total	Tasa de variación anual	Gasto medio por persona	2016M02	-5,20
Total	Tasa de variación anual	Gasto medio por persona	2016M01	-6,68
Total	Tasa de variación anual	Gasto medio por persona	2015M12	1,39
Total	Tasa de variación anual	Gasto medio por persona	2015M11	1,47
Total	Tasa de variación anual	Gasto medio por persona	2015M10	-4,43
Total	Tasa de variación anual	Gasto medio diario por persona	2020M09	-30,72
Total	Tasa de variación anual	Gasto medio diario por persona	2020M08	-20,76
Total	Tasa de variación anual	Gasto medio diario por persona	2020M07	-23,26
Total	Tasa de variación anual	Gasto medio diario por persona	2020M06	-30,37
Total	Tasa de variación anual	Gasto medio diario por persona	2020M05	-100,00
Total	Tasa de variación anual	Gasto medio diario por persona	2020M04	-100,00
Total	Tasa de variación anual	Gasto medio diario por persona	2020M03	0,92
Total	Tasa de variación anual	Gasto medio diario por persona	2020M02	5,31
Total	Tasa de variación anual	Gasto medio diario por persona	2020M01	4,25
Total	Tasa de variación anual	Gasto medio diario por persona	2019M12	9,26
Total	Tasa de variación anual	Gasto medio diario por persona	2019M11	5,01
Total	Tasa de variación anual	Gasto medio diario por persona	2019M10	6,77
Total	Tasa de variación anual	Gasto medio diario por persona	2019M09	3,98
Total	Tasa de variación anual	Gasto medio diario por persona	2019M08	5,35
Total	Tasa de variación anual	Gasto medio diario por persona	2019M07	5,21
Total	Tasa de variación anual	Gasto medio diario por persona	2019M06	8,29
Total	Tasa de variación anual	Gasto medio diario por persona	2019M05	9,71
Total	Tasa de variación anual	Gasto medio diario por persona	2019M04	6,94
Total	Tasa de variación anual	Gasto medio diario por persona	2019M03	6,30
Total	Tasa de variación anual	Gasto medio diario por persona	2019M02	4,92
Total	Tasa de variación anual	Gasto medio diario por persona	2019M01	5,29
Total	Tasa de variación anual	Gasto medio diario por persona	2018M12	7,96
Total	Tasa de variación anual	Gasto medio diario por persona	2018M11	11,25
Total	Tasa de variación anual	Gasto medio diario por persona	2018M10	5,06
Total	Tasa de variación anual	Gasto medio diario por persona	2018M09	2,67
Total	Tasa de variación anual	Gasto medio diario por persona	2018M08	10,51
Total	Tasa de variación anual	Gasto medio diario por persona	2018M07	9,40
Total	Tasa de variación anual	Gasto medio diario por persona	2018M06	5,62
Total	Tasa de variación anual	Gasto medio diario por persona	2018M05	3,09
Total	Tasa de variación anual	Gasto medio diario por persona	2018M04	3,99
Total	Tasa de variación anual	Gasto medio diario por persona	2018M03	0,80
Total	Tasa de variación anual	Gasto medio diario por persona	2018M02	7,00
Total	Tasa de variación anual	Gasto medio diario por persona	2018M01	1,95
Total	Tasa de variación anual	Gasto medio diario por persona	2017M12	2,09
Total	Tasa de variación anual	Gasto medio diario por persona	2017M11	0,11
Total	Tasa de variación anual	Gasto medio diario por persona	2017M10	5,45
Total	Tasa de variación anual	Gasto medio diario por persona	2017M09	5,95
Total	Tasa de variación anual	Gasto medio diario por persona	2017M08	7,64
Total	Tasa de variación anual	Gasto medio diario por persona	2017M07	6,40
Total	Tasa de variación anual	Gasto medio diario por persona	2017M06	4,98
Total	Tasa de variación anual	Gasto medio diario por persona	2017M05	2,14
Total	Tasa de variación anual	Gasto medio diario por persona	2017M04	6,66
Total	Tasa de variación anual	Gasto medio diario por persona	2017M03	7,19
Total	Tasa de variación anual	Gasto medio diario por persona	2017M02	2,18
Total	Tasa de variación anual	Gasto medio diario por persona	2017M01	5,97
Total	Tasa de variación anual	Gasto medio diario por persona	2016M12	6,72
Total	Tasa de variación anual	Gasto medio diario por persona	2016M11	6,48
Total	Tasa de variación anual	Gasto medio diario por persona	2016M10	13,11
Total	Tasa de variación anual	Gasto medio diario por persona	2016M09	3,13
Total	Tasa de variación anual	Gasto medio diario por persona	2016M08	0,31
Total	Tasa de variación anual	Gasto medio diario por persona	2016M07	5,84
Total	Tasa de variación anual	Gasto medio diario por persona	2016M06	1,77
Total	Tasa de variación anual	Gasto medio diario por persona	2016M05	4,59
Total	Tasa de variación anual	Gasto medio diario por persona	2016M04	1,99
Total	Tasa de variación anual	Gasto medio diario por persona	2016M03	0,23
Total	Tasa de variación anual	Gasto medio diario por persona	2016M02	4,75
Total	Tasa de variación anual	Gasto medio diario por persona	2016M01	0,95
Total	Tasa de variación anual	Gasto medio diario por persona	2015M12	0,84
Total	Tasa de variación anual	Gasto medio diario por persona	2015M11	3,02
Total	Tasa de variación anual	Gasto medio diario por persona	2015M10	-3,50
Total	Tasa de variación anual	Duración media de los viajes	2020M09	12,64
Total	Tasa de variación anual	Duración media de los viajes	2020M08	9,71
Total	Tasa de variación anual	Duración media de los viajes	2020M07	7,11
Total	Tasa de variación anual	Duración media de los viajes	2020M06	-14,76
Total	Tasa de variación anual	Duración media de los viajes	2020M05	-100,00
Total	Tasa de variación anual	Duración media de los viajes	2020M04	-100,00
Total	Tasa de variación anual	Duración media de los viajes	2020M03	1,80
Total	Tasa de variación anual	Duración media de los viajes	2020M02	-4,86
Total	Tasa de variación anual	Duración media de los viajes	2020M01	-0,68
Total	Tasa de variación anual	Duración media de los viajes	2019M12	-7,38
Total	Tasa de variación anual	Duración media de los viajes	2019M11	-3,88
Total	Tasa de variación anual	Duración media de los viajes	2019M10	-3,74
Total	Tasa de variación anual	Duración media de los viajes	2019M09	-2,15
Total	Tasa de variación anual	Duración media de los viajes	2019M08	-2,50
Total	Tasa de variación anual	Duración media de los viajes	2019M07	-1,95
Total	Tasa de variación anual	Duración media de los viajes	2019M06	-7,57
Total	Tasa de variación anual	Duración media de los viajes	2019M05	-7,12
Total	Tasa de variación anual	Duración media de los viajes	2019M04	-5,45
Total	Tasa de variación anual	Duración media de los viajes	2019M03	-5,36
Total	Tasa de variación anual	Duración media de los viajes	2019M02	-5,74
Total	Tasa de variación anual	Duración media de los viajes	2019M01	-3,87
Total	Tasa de variación anual	Duración media de los viajes	2018M12	-6,34
Total	Tasa de variación anual	Duración media de los viajes	2018M11	-8,36
Total	Tasa de variación anual	Duración media de los viajes	2018M10	-5,18
Total	Tasa de variación anual	Duración media de los viajes	2018M09	-2,49
Total	Tasa de variación anual	Duración media de los viajes	2018M08	-6,56
Total	Tasa de variación anual	Duración media de los viajes	2018M07	-5,10
Total	Tasa de variación anual	Duración media de los viajes	2018M06	-2,70
Total	Tasa de variación anual	Duración media de los viajes	2018M05	-1,24
Total	Tasa de variación anual	Duración media de los viajes	2018M04	-1,94
Total	Tasa de variación anual	Duración media de los viajes	2018M03	1,31
Total	Tasa de variación anual	Duración media de los viajes	2018M02	-3,83
Total	Tasa de variación anual	Duración media de los viajes	2018M01	-0,99
Total	Tasa de variación anual	Duración media de los viajes	2017M12	-1,74
Total	Tasa de variación anual	Duración media de los viajes	2017M11	2,89
Total	Tasa de variación anual	Duración media de los viajes	2017M10	-1,11
Total	Tasa de variación anual	Duración media de los viajes	2017M09	-4,85
Total	Tasa de variación anual	Duración media de los viajes	2017M08	-1,19
Total	Tasa de variación anual	Duración media de los viajes	2017M07	-1,04
Total	Tasa de variación anual	Duración media de los viajes	2017M06	-1,90
Total	Tasa de variación anual	Duración media de los viajes	2017M05	-0,31
Total	Tasa de variación anual	Duración media de los viajes	2017M04	-2,89
Total	Tasa de variación anual	Duración media de los viajes	2017M03	-2,94
Total	Tasa de variación anual	Duración media de los viajes	2017M02	1,51
Total	Tasa de variación anual	Duración media de los viajes	2017M01	-2,81
Total	Tasa de variación anual	Duración media de los viajes	2016M12	-1,06
Total	Tasa de variación anual	Duración media de los viajes	2016M11	-6,57
Total	Tasa de variación anual	Duración media de los viajes	2016M10	-6,97
Total	Tasa de variación anual	Duración media de los viajes	2016M09	-2,35
Total	Tasa de variación anual	Duración media de los viajes	2016M08	-2,39
Total	Tasa de variación anual	Duración media de los viajes	2016M07	-7,44
Total	Tasa de variación anual	Duración media de los viajes	2016M06	-1,84
Total	Tasa de variación anual	Duración media de los viajes	2016M05	-4,07
Total	Tasa de variación anual	Duración media de los viajes	2016M04	-8,43
Total	Tasa de variación anual	Duración media de los viajes	2016M03	-5,43
Total	Tasa de variación anual	Duración media de los viajes	2016M02	-9,50
Total	Tasa de variación anual	Duración media de los viajes	2016M01	-7,56
Total	Tasa de variación anual	Duración media de los viajes	2015M12	0,54
Total	Tasa de variación anual	Duración media de los viajes	2015M11	-1,51
